C:\Users\doris\anaconda3\envs\py37\python.exe F:\resource_provision_mec\codes\min_cost\ppo\train.py 
------use_orthogonal_init------
------use_orthogonal_init------
evaluate_num:29 	 evaluate_reward:61.69020759167802 	 info: [{'cost': 4290.0, 'assigned_user': '50 / 50'}]
step: 58368 / 2000000, lr = 0.00029124479999999997
step: 59392 / 2000000, lr = 0.0002910912
evaluate_num:30 	 evaluate_reward:61.63762658130057 	 info: [{'cost': 4322.0, 'assigned_user': '50 / 50'}]
step: 60416 / 2000000, lr = 0.0002909376
step: 61440 / 2000000, lr = 0.000290784
evaluate_num:31 	 evaluate_reward:60.35047117528033 	 info: [{'cost': 4457.0, 'assigned_user': '50 / 50'}]
step: 62464 / 2000000, lr = 0.0002906304
step: 63488 / 2000000, lr = 0.00029047679999999996
evaluate_num:32 	 evaluate_reward:60.81925113565449 	 info: [{'cost': 4376.0, 'assigned_user': '50 / 50'}]
step: 64512 / 2000000, lr = 0.0002903232
step: 65536 / 2000000, lr = 0.0002901696
evaluate_num:33 	 evaluate_reward:60.24067415397612 	 info: [{'cost': 4425.0, 'assigned_user': '50 / 50'}]
step: 66560 / 2000000, lr = 0.000290016
step: 67584 / 2000000, lr = 0.00028986239999999997
evaluate_num:34 	 evaluate_reward:60.34429504063391 	 info: [{'cost': 4421.0, 'assigned_user': '50 / 50'}]
step: 68608 / 2000000, lr = 0.00028970879999999996
step: 69632 / 2000000, lr = 0.0002895552
evaluate_num:35 	 evaluate_reward:60.35393642556848 	 info: [{'cost': 4470.0, 'assigned_user': '50 / 50'}]
step: 70656 / 2000000, lr = 0.0002894016
step: 71680 / 2000000, lr = 0.000289248
evaluate_num:36 	 evaluate_reward:60.4034814015005 	 info: [{'cost': 4435.0, 'assigned_user': '50 / 50'}]
step: 72704 / 2000000, lr = 0.00028909439999999997
step: 73728 / 2000000, lr = 0.00028894079999999996
evaluate_num:37 	 evaluate_reward:60.40331577492287 	 info: [{'cost': 4453.0, 'assigned_user': '50 / 50'}]
step: 74752 / 2000000, lr = 0.0002887872
step: 75776 / 2000000, lr = 0.0002886336
evaluate_num:38 	 evaluate_reward:60.5862934558564 	 info: [{'cost': 4451.0, 'assigned_user': '50 / 50'}]
step: 76800 / 2000000, lr = 0.00028848
step: 77824 / 2000000, lr = 0.00028832639999999996
evaluate_num:39 	 evaluate_reward:61.333094953231075 	 info: [{'cost': 4366.0, 'assigned_user': '50 / 50'}]
step: 78848 / 2000000, lr = 0.00028817279999999995
step: 79872 / 2000000, lr = 0.0002880192
evaluate_num:40 	 evaluate_reward:61.35979200577511 	 info: [{'cost': 4385.0, 'assigned_user': '50 / 50'}]
step: 80896 / 2000000, lr = 0.0002878656
step: 81920 / 2000000, lr = 0.00028771199999999997
evaluate_num:41 	 evaluate_reward:60.57123448513494 	 info: [{'cost': 4432.0, 'assigned_user': '50 / 50'}]
step: 82944 / 2000000, lr = 0.0002875584
step: 83968 / 2000000, lr = 0.00028740479999999995
evaluate_num:42 	 evaluate_reward:60.527569262249344 	 info: [{'cost': 4423.0, 'assigned_user': '50 / 50'}]
step: 84992 / 2000000, lr = 0.0002872512
evaluate_num:43 	 evaluate_reward:61.14897084549043 	 info: [{'cost': 4380.0, 'assigned_user': '50 / 50'}]
step: 86016 / 2000000, lr = 0.0002870976
step: 87040 / 2000000, lr = 0.00028694399999999997
evaluate_num:44 	 evaluate_reward:61.72741836109058 	 info: [{'cost': 4291.0, 'assigned_user': '50 / 50'}]
step: 88064 / 2000000, lr = 0.0002867904
step: 89088 / 2000000, lr = 0.00028663679999999995
evaluate_num:45 	 evaluate_reward:60.793198632154024 	 info: [{'cost': 4411.0, 'assigned_user': '50 / 50'}]
step: 90112 / 2000000, lr = 0.0002864832
step: 91136 / 2000000, lr = 0.0002863296
evaluate_num:46 	 evaluate_reward:61.70477154605411 	 info: [{'cost': 4364.0, 'assigned_user': '50 / 50'}]
step: 92160 / 2000000, lr = 0.00028617599999999997
step: 93184 / 2000000, lr = 0.0002860224
evaluate_num:47 	 evaluate_reward:60.257931924139086 	 info: [{'cost': 4452.0, 'assigned_user': '50 / 50'}]
step: 94208 / 2000000, lr = 0.00028586879999999994
step: 95232 / 2000000, lr = 0.0002857152
evaluate_num:48 	 evaluate_reward:60.843789382363 	 info: [{'cost': 4379.0, 'assigned_user': '50 / 50'}]
step: 96256 / 2000000, lr = 0.0002855616
step: 97280 / 2000000, lr = 0.00028540799999999996
evaluate_num:49 	 evaluate_reward:61.586495544786544 	 info: [{'cost': 4357.0, 'assigned_user': '50 / 50'}]
step: 98304 / 2000000, lr = 0.0002852544
step: 99328 / 2000000, lr = 0.00028510079999999994
evaluate_num:50 	 evaluate_reward:61.19722552027656 	 info: [{'cost': 4410.0, 'assigned_user': '50 / 50'}]
step: 100352 / 2000000, lr = 0.0002849472
step: 101376 / 2000000, lr = 0.00028479359999999997
evaluate_num:51 	 evaluate_reward:61.459450251244455 	 info: [{'cost': 4378.0, 'assigned_user': '50 / 50'}]
step: 102400 / 2000000, lr = 0.00028463999999999996
step: 103424 / 2000000, lr = 0.0002844864
evaluate_num:52 	 evaluate_reward:61.583342566656235 	 info: [{'cost': 4354.0, 'assigned_user': '50 / 50'}]
step: 104448 / 2000000, lr = 0.00028433279999999994
step: 105472 / 2000000, lr = 0.0002841792
evaluate_num:53 	 evaluate_reward:61.56170458855188 	 info: [{'cost': 4385.0, 'assigned_user': '50 / 50'}]
step: 106496 / 2000000, lr = 0.00028402559999999997
step: 107520 / 2000000, lr = 0.00028387199999999995
evaluate_num:54 	 evaluate_reward:60.669428921238904 	 info: [{'cost': 4427.0, 'assigned_user': '50 / 50'}]
step: 108544 / 2000000, lr = 0.0002837184
step: 109568 / 2000000, lr = 0.0002835648
evaluate_num:55 	 evaluate_reward:61.486683585788946 	 info: [{'cost': 4396.0, 'assigned_user': '50 / 50'}]
step: 110592 / 2000000, lr = 0.0002834112
step: 111616 / 2000000, lr = 0.00028325759999999996
